Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,58.0,1.0,58.0,58.0,0.1,24.30600000000004,0.0,0.0,0.005622148513793945,,,,,,,,,,,,,,,,,,,,,6.608463895822402,7.456309529273091,23.970626376168262,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,123.0,2.0,65.0,123.0,0.1,41.406000000000006,0.0,0.0,6.262699365615845,,,,,,,,,,,,,,,,,,,,,14.281558450672087,13.700033011837672,40.558775693317266,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,213.0,3.0,90.0,213.0,0.1,48.305,0.0,0.0,14.863404273986816,,,,,,,,,,,,,,,,,,,,,18.11740135103966,13.854634705630069,46.767922956396276,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,320.0,4.0,107.0,320.0,0.1,60.70600000000001,0.0,0.0,24.685850620269775,,,,,,,,,,,,,,,,,,,,,22.89406739895993,16.732169514185145,58.373022460209256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,370.0,5.0,50.0,370.0,0.1,32.306,0.0,0.0,29.58365511894226,,,,,,,,,,,,,,,,,,,,,11.513522380629324,10.852107121585874,31.793879846782254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,396.0,6.0,26.0,396.0,0.1,11.105999999999995,0.0,0.0,32.57721519470215,,,,,,,,,,,,,,,,,,,,,3.240987025010736,3.7936717307964445,11.043810915369546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,526.0,7.0,130.0,526.0,0.1,57.10600000000005,0.0,0.0,44.66132926940918,,,,,,,,,,,,,,,,,,,,,28.332187661000688,15.432819203323241,53.52982171768359,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,579.0,8.0,53.0,579.0,0.1,17.310000000000027,0.0,0.0,49.92601728439331,,,,,,,,,,,,,,,,,,,,,4.058309969487459,5.10280156216894,17.129150743954334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,636.0,9.0,57.0,636.0,0.1,41.60699999999999,0.0,0.0,55.475038290023804,,,,,,,,,,,,,,,,,,,,,16.138838124859948,13.857254189898148,40.76858262354746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,670.0,10.0,34.0,670.0,0.1,18.206000000000017,0.0,0.0,59.111948013305664,,,,,,,,,,,,,,,,,,,,,5.849153031896112,6.237701020300387,18.043197148014418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
